Atl_croaker_(nibea98),Bay_anchovy,Black_drum_or_Spot,Black_sea_bass,Brd_striped_anchovy,Little_tunny_or_skipjack_tuna,Nor_sea_robin,Scup,Smallmouth_flounder,Southern_kingfish(nibea95),Str_sea_robin,Summ_flounder,Summ_flounder99a,Weakfish_Cyn,Windowpane_flounder,Am_butterfish,Atl_chub_mackerel,Frigate_or_bullet_tuna,Giant_trevally99,Hogchoker_trinectes,Nor_kingfish,Red_White_or_Spotted_hake,Spanish_mackerel,Tautog,Thread_herring,Atl_menhaden_LS16_or_river_herrings,Cobia,Cunner,Am_conger,Atl_or_nor_sand_lance,Bluefish,Silver_anchovy,Seaboard_goby,Nor_puffer,Silver_perch(nibea93),Sturgeon,Crested_blenny_refseq_not_full_length,Str_burrfish,Dwarf_goatfish,Fourspot_flounder,Nor_sennet95,Tuna_sp,Atl_moonfish,Atl_silverside,Gulf_stream_flounder,Str_cusk_eel,Nor_stargazer,Grey_triggerfish,Nor_pipefish,Planehead_filefish,Rough_scad,Str_killifish,Mummichog,Rough_silverside94,Sheepshead_minnow,Str_bass,White_mullet,Am_eel,Red_eye_round_herring,Inshore_lizardfish,Atl_mackerel,Flathead_grey_mullet,Silver_hake,Winter_or_Yellowtail_flounder,Atl_herring,Atl_cod,Am_gizzard_shad,Fourspine_stickleback,Catfish_sp,White_perch,Whitefish_Cor,Pac_sand_lance,White_catfish,Atl_salmon
0.0002088,0.064978633,0.069530478,0.015312017,0.001809602,0,0.420161751,0.005122566,0.004203845,0.013070895,0.007530728,0.016815379,0,0.015896658,0.049346455,0.058700706,0,0,0,0.000737761,0.014964017,0.04450229,0,0.00018096,0,0.037570122,0,0,0,0.02690739,0.006723368,0,0,0,0.003591364,0.089923301,0,0,0,0.014254096,0,0,0.00038976,0.0002784,0.003034563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001948802,0.011678893,0.00016704,0,0,0,0.00016704,0.00029232,0,0,0,0
0.016348774,0.023614896,0,0.025431426,0,0,0.124432334,0,0,0,0,0.025431426,0,0.009990917,0.007266122,0.018165304,0,0,0,0,0,0.010899183,0,0,0,0.0626703,0,0,0,0.670299728,0,0,0,0,0,0,0,0,0,0.005449591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000262722,0.002589685,0.000300253,0.022218747,0.154467832,0,0.033553311,0.046564289,0.016682826,0.000544209,0.001451224,0.083639321,0,0.000193914,0.057836299,0.151746786,0,0,0,0,0.118806493,0.031820599,0,0.000237701,0,0.044237325,0,0,0,0,0.000350296,0,0,0,0,0.001382416,0,0,0,0.000869484,0,0,0,0.000237701,0,0,0,0,0,0,0.228786789,0,0,0,0,0,0,0,0,0,0,0,0.000444125,0.000625528,0,0.000150127,0,0,0,0,0,0,0,0
0.106499111,0.033637979,0.005077431,0.027164255,0.098629094,0,0.014216806,0.086062452,0.01320132,0.026275704,0.003808073,0.016247779,0,0.114876872,0.160700685,0.098629094,0,0,0,0,0.034272658,0.061183041,0,0.001396293,0,0.057755776,0,0,0,0,0.001142422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022721503,0,0.001777101,0,0,0,0,0,0,0,0,0,0.014724549,0,0,0,0,0,0,0,0,0,0,0
0.093850111,0,0.005955872,0.009306051,0.171231331,0,0.023056445,0.158811984,0.020811713,0.113601498,0.005628751,0.066699003,0,0.065672517,0.050895637,0.072124712,0,0,0,0,0.061780896,0.050173713,0,0,0,0.0072982,0,0,0,0,0.00182737,0,0,0,0.001071606,0.001003925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019198664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002029444,0.380744359,0.305001376,0.000894331,0.010044029,0,0.002786186,0.005090809,0.000859934,0.041173638,0,0.00612273,0,0.069723445,0.067694001,0.010628784,0,0,0,0.005331591,0.005331591,0.017749037,0,0,0,0,0,0,0,0,0.011419923,0,0,0,0.054382223,0.002614199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000378371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.029526299,0.487037235,0.069081404,0.001200256,0.026218927,0,0.009708738,0.015576656,0.003894164,0.083804545,0,0.017016964,0,0.116238131,0.035127494,0.013682919,0,0,0,0.009975461,0.002293823,0.018030513,0,0.001520324,0,0.011522458,0,0,0,0,0.012082578,0,0,0,0.034220634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002240478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008571795,0.040180287,0.027567171,0.000267869,0.008583441,0,0.00885131,0.011017551,0.035591582,0.080139292,0,0.018296589,0,0.555920478,0.085321966,0.007640078,0,0,0,0.004332483,0.001723676,0.034240593,0,0,0,0.001525686,0,0,0,0,0.000838545,0,0.001199585,0,0.002061423,0.063240278,0,0,0,0,0,0,0,0.000314454,0,0.000605616,0,0,0,0,0.000500798,0,0,0,0,0,0,0,0,0,0,0,0,0.001304404,8.15E-05,0,0,0,0,0,8.15E-05,0,0,0
0.025738151,0.061851028,0.026647595,0.002154411,0.078168044,0,0.016193403,0.196051423,0.016661369,0.053515929,0,0.053145087,0,0.246891997,0.067616727,0.014913117,0,0,0,0.001712934,0.016140425,0.049763368,0,0.003787879,0,0.013624002,0,0,0,0.007505121,0.015160345,0,0.001818888,0,0.003108003,0.023981069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002004309,0,0,0,0,0,0,0.0003885,0,0,0,0,0.00020308,0.001253797,0,0,0,0,0,0,0,0,0,0
0.023348819,0.064993534,0.011327171,0.006489774,0.047224484,0,0.020379329,0.44822549,0.006370037,0.048828967,0,0.010010058,0.009124,0.119067005,0.035298625,0.030245701,0,0,0,0,0.014368504,0.02708463,0,0.002993438,0,0.004190814,0,0,0,0.011446908,0.037717324,0,0,0,0.003999234,0.00950716,0,0,0,0,0,0,0,0,0.004190814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003568179,0,0
